Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16;
UP;-3.0;85.0;-142.0;-21.0;4.0;-44.0;3.0;-36.0;65.0;-7.0;-3.0;-21.0;4.0;-35.0;66.0;5.0;9.0;-8.0;2.0;-1.0;4.0;37.0;22.0;10.0;2.0;1.0;4.0;21.0;-6.0;18.0;1.0;1.0;1.0;14.0;-11.0;17.0;0.0;2.0;-4.0;-21.0;-3.0;2.0;1.0;0.0;-4.0;-22.0;11.0;-3.0;0.0;-1.0;-2.0;-40.0;8.0;-9.0;1.0;0.0;0.0;-28.0;10.0;-2.0;0.0;-1.0;3.0;16.0;26.0;2.0;-1.0;1.0;4.0;21.0;13.0;-2.0;2.0;-2.0;3.0;34.0;2.0;3.0;-1.0;2.0;0.0;-25.0;-27.0;2.0;1.0;-2.0;-3.0;1.0;-12.0;3.0;0.0;-1.0;0.0;6.0;-1.0;-1.0
UP;-8.0;-83.0;104.0;396.0;-487.0;-513.0;-26.0;-53.0;8.0;251.0;-1035.0;-758.0;-25.0;31.0;-122.0;621.0;-890.0;-523.0;3.0;139.0;-200.0;54.0;-255.0;-124.0;44.0;187.0;-137.0;-144.0;606.0;633.0;55.0;108.0;-49.0;-457.0;981.0;997.0;42.0;22.0;-2.0;-576.0;1224.0;1166.0;7.0;-85.0;53.0;-171.0;1305.0;904.0;-23.0;-132.0;105.0;203.0;976.0;540.0;-44.0;-96.0;132.0;185.0;325.0;-52.0;-32.0;-74.0;112.0;163.0;-327.0;-421.0;-24.0;22.0;56.0;-162.0;-691.0;-561.0;5.0;6.0;5.0;52.0;-655.0;-437.0;-3.0;43.0;-36.0;-87.0;-619.0;-277.0;9.0;4.0;-46.0;77.0;-309.0;-169.0;2.0;16.0;-38.0;-64.0;-141.0;-46.0
UP;-50.0;-15.0;87.0;-50.0;-1127.0;-543.0;-29.0;-34.0;-33.0;-105.0;-1331.0;-926.0;12.0;91.0;-194.0;53.0;-790.0;-559.0;73.0;107.0;-213.0;245.0;729.0;248.0;46.0;151.0;-120.0;-48.0;1371.0;1082.0;17.0;14.0;-10.0;-539.0;1432.0;1207.0;9.0;-58.0;63.0;-383.0;1232.0;906.0;-7.0;-111.0;111.0;19.0;855.0;534.0;-36.0;-98.0;141.0;137.0;339.0;46.0;-31.0;-70.0;109.0;126.0;-351.0;-284.0;-11.0;-20.0;51.0;-43.0;-682.0;-507.0;10.0;15.0;-12.0;68.0;-697.0;-398.0;4.0;27.0;-38.0;44.0;-504.0;-318.0;-5.0;31.0;-43.0;64.0;-259.0;-164.0;-6.0;5.0;-29.0;40.0;-97.0;-87.0;-5.0;10.0;-14.0;21.0;-1.0;-32.0
UP;-16.0;-8.0;59.0;126.0;-994.0;-461.0;-23.0;14.0;-52.0;-176.0;-1123.0;-459.0;-13.0;63.0;-163.0;-308.0;-650.0;-363.0;27.0;115.0;-190.0;10.0;369.0;69.0;50.0;118.0;-121.0;-90.0;1168.0;756.0;43.0;45.0;-35.0;-108.0;1535.0;1141.0;20.0;-59.0;66.0;-265.0;1463.0;984.0;-13.0;-111.0;118.0;-19.0;832.0;440.0;-29.0;-83.0;127.0;31.0;232.0;84.0;-30.0;-70.0;97.0;-117.0;-359.0;-166.0;-15.0;-31.0;51.0;-100.0;-617.0;-355.0;1.0;-19.0;9.0;67.0;-625.0;-450.0;-4.0;21.0;-25.0;180.0;-520.0;-452.0;-2.0;25.0;-37.0;218.0;-299.0;-306.0;-2.0;31.0;-39.0;-38.0;-179.0;-136.0;7.0;9.0;-22.0;94.0;-10.0;-29.0
UP;-30.0;-38.0;104.0;170.0;-683.0;-522.0;-32.0;-22.0;30.0;-12.0;-1349.0;-749.0;-15.0;49.0;-122.0;-158.0;-1314.0;-627.0;17.0;100.0;-222.0;108.0;-274.0;-105.0;49.0;153.0;-186.0;-211.0;987.0;629.0;42.0;87.0;-77.0;-311.0;1598.0;1156.0;36.0;-8.0;26.0;-470.0;1765.0;1235.0;-3.0;-118.0;112.0;-138.0;1373.0;854.0;-18.0;-120.0;154.0;176.0;614.0;288.0;-12.0;-95.0;152.0;11.0;-260.0;-231.0;-10.0;-38.0;83.0;256.0;-757.0;-524.0;-1.0;3.0;3.0;41.0;-829.0;-581.0;-9.0;35.0;-50.0;154.0;-571.0;-409.0;-4.0;39.0;-52.0;18.0;-331.0;-218.0;-1.0;16.0;-34.0;-62.0;-107.0;-58.0;2.0;3.0;-10.0;2.0;15.0;18.0
UP;-30.0;-52.0;105.0;135.0;-919.0;-634.0;-20.0;-13.0;-4.0;99.0;-1246.0;-780.0;-10.0;60.0;-153.0;-17.0;-959.0;-583.0;33.0;130.0;-212.0;117.0;215.0;122.0;37.0;141.0;-133.0;-318.0;1066.0;821.0;34.0;74.0;-32.0;-315.0;1385.0;1225.0;17.0;-30.0;33.0;-400.0;1449.0;1201.0;0.0;-120.0;97.0;80.0;1118.0;743.0;-23.0;-118.0;141.0;214.0;516.0;197.0;-28.0;-94.0;126.0;-53.0;-316.0;-375.0;-26.0;-34.0;64.0;144.0;-713.0;-656.0;-6.0;9.0;-14.0;-60.0;-734.0;-625.0;2.0;46.0;-38.0;178.0;-435.0;-354.0;-2.0;33.0;-36.0;-98.0;-308.0;-149.0;4.0;15.0;-20.0;-56.0;-143.0;4.0;-1.0;-5.0;-14.0;4.0;-32.0;34.0
UP;-18.0;-34.0;103.0;292.0;-511.0;-399.0;-15.0;-16.0;60.0;300.0;-1048.0;-551.0;-14.0;35.0;-99.0;-217.0;-1206.0;-469.0;11.0;70.0;-188.0;-216.0;-536.0;-258.0;30.0;126.0;-189.0;-210.0;375.0;242.0;50.0;100.0;-90.0;-269.0;1117.0;770.0;39.0;46.0;-24.0;-252.0;1509.0;1158.0;12.0;-62.0;47.0;-204.0;1571.0;999.0;-20.0;-114.0;99.0;81.0;1159.0;525.0;-33.0;-90.0;148.0;65.0;376.0;65.0;-31.0;-81.0;136.0;12.0;-457.0;-325.0;-15.0;-21.0;70.0;13.0;-876.0;-530.0;2.0;-7.0;-14.0;144.0;-783.0;-561.0;6.0;40.0;-61.0;-2.0;-499.0;-379.0;3.0;32.0;-48.0;99.0;-198.0;-195.0;2.0;18.0;-26.0;-46.0;-49.0;-14.0
UP;-19.0;-47.0;102.0;190.0;-683.0;-564.0;-28.0;-17.0;16.0;79.0;-1243.0;-754.0;-21.0;43.0;-109.0;66.0;-1165.0;-600.0;2.0;103.0;-198.0;50.0;-342.0;-126.0;43.0;146.0;-157.0;74.0;726.0;362.0;45.0;123.0;-96.0;-331.0;1294.0;948.0;43.0;37.0;-18.0;-388.0;1602.0;1322.0;-4.0;-67.0;40.0;-429.0;1430.0;1311.0;-25.0;-137.0;106.0;-114.0;1049.0;811.0;-34.0;-125.0;151.0;170.0;384.0;64.0;-20.0;-103.0;158.0;-111.0;-636.0;-459.0;10.0;-60.0;77.0;106.0;-1001.0;-795.0;15.0;17.0;-25.0;25.0;-921.0;-697.0;4.0;47.0;-72.0;501.0;-269.0;-464.0;-10.0;66.0;-58.0;132.0;-139.0;-215.0;-3.0;19.0;-21.0;-58.0;-23.0;-3.0
UP;-20.0;-15.0;101.0;716.0;-539.0;-285.0;-35.0;-6.0;39.0;163.0;-1136.0;-372.0;-31.0;47.0;-123.0;-138.0;-1074.0;-401.0;17.0;75.0;-210.0;-615.0;-300.0;-97.0;62.0;109.0;-179.0;-256.0;818.0;313.0;57.0;82.0;-67.0;-422.0;1273.0;737.0;34.0;-1.0;15.0;-322.0;1492.0;736.0;-22.0;-81.0;93.0;-150.0;1234.0;531.0;-42.0;-93.0;137.0;21.0;689.0;147.0;-36.0;-72.0;139.0;113.0;-3.0;-105.0;-2.0;-35.0;106.0;251.0;-470.0;-331.0;5.0;10.0;38.0;-95.0;-842.0;-301.0;12.0;8.0;-17.0;132.0;-668.0;-284.0;-4.0;36.0;-67.0;-137.0;-550.0;-150.0;1.0;-4.0;-58.0;295.0;-51.0;-102.0;-6.0;19.0;-33.0;-133.0;-2.0;39.0
UP;-40.0;-22.0;85.0;222.0;-1139.0;-547.0;-27.0;5.0;-59.0;-6.0;-1302.0;-549.0;-2.0;52.0;-185.0;30.0;-781.0;-297.0;58.0;127.0;-215.0;-128.0;425.0;268.0;55.0;101.0;-106.0;-225.0;1042.0;672.0;49.0;67.0;-38.0;-450.0;1321.0;941.0;13.0;-51.0;20.0;-287.0;1461.0;895.0;-11.0;-72.0;65.0;-135.0;1344.0;631.0;-43.0;-109.0;122.0;198.0;804.0;211.0;-45.0;-69.0;154.0;-15.0;-54.0;-231.0;-26.0;-53.0;118.0;42.0;-682.0;-436.0;6.0;-10.0;45.0;-79.0;-828.0;-471.0;4.0;15.0;-31.0;73.0;-720.0;-375.0;4.0;27.0;-48.0;221.0;-421.0;-275.0;0.0;27.0;-49.0;63.0;-246.0;-114.0;6.0;5.0;-27.0;93.0;2.0;0.0
