Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
LEFT;-42.0;42.0;4.0;-100.0;-173.0;1148.0;-46.0;-58.0;-48.0;-360.0;-207.0;963.0;-15.0;-170.0;-75.0;-461.0;-151.0;36.0;62.0;-145.0;-44.0;106.0;86.0;-943.0;79.0;-68.0;-2.0;279.0;242.0;-1102.0;32.0;18.0;20.0;270.0;368.0;-930.0;-17.0;32.0;12.0;45.0;272.0;-703.0;-33.0;42.0;5.0;106.0;208.0;-624.0;-31.0;49.0;12.0;151.0;118.0;-442.0;-13.0;67.0;26.0;28.0;17.0;-107.0;2.0;65.0;30.0;-1.0;-50.0;235.0;11.0;36.0;26.0;-136.0;-77.0;553.0;12.0;9.0;5.0;-79.0;-138.0;517.0;11.0;-9.0;-9.0;-9.0;-137.0;398.0;15.0;-19.0;-11.0;56.0;-117.0;133.0;10.0;-12.0;-8.0;-6.0;-56.0;95.0
LEFT;-49.0;51.0;-11.0;-282.0;-149.0;1115.0;-48.0;-74.0;-34.0;-606.0;-237.0;823.0;7.0;-189.0;-57.0;-286.0;-182.0;-78.0;69.0;-142.0;-35.0;198.0;100.0;-1073.0;83.0;-33.0;-9.0;343.0;251.0;-1121.0;21.0;40.0;18.0;235.0;430.0;-891.0;-27.0;35.0;17.0;36.0;243.0;-586.0;-37.0;37.0;15.0;241.0;175.0;-449.0;-27.0;51.0;15.0;130.0;57.0;-258.0;-7.0;63.0;26.0;116.0;-30.0;-16.0;6.0;62.0;19.0;-51.0;-101.0;246.0;10.0;36.0;14.0;-168.0;-134.0;441.0;6.0;9.0;-1.0;-177.0;-116.0;437.0;12.0;-23.0;-2.0;-68.0;-96.0;360.0;12.0;-26.0;-7.0;-47.0;-58.0;167.0;13.0;-19.0;-7.0;0.0;-41.0;81.0
LEFT;5.0;-109.0;-58.0;-121.0;-173.0;-173.0;60.0;-117.0;-46.0;121.0;152.0;-529.0;58.0;-43.0;-20.0;112.0;314.0;-723.0;33.0;-16.0;6.0;93.0;384.0;-739.0;-8.0;12.0;16.0;47.0;263.0;-727.0;-26.0;36.0;9.0;174.0;220.0;-608.0;-31.0;57.0;10.0;186.0;173.0;-359.0;-19.0;53.0;18.0;104.0;100.0;-130.0;-9.0;59.0;26.0;-23.0;-12.0;101.0;3.0;41.0;24.0;-47.0;-89.0;304.0;11.0;18.0;17.0;-107.0;-154.0;434.0;12.0;-2.0;2.0;-83.0;-164.0;403.0;13.0;-18.0;-6.0;-36.0;-110.0;280.0;7.0;-13.0;-11.0;-38.0;-92.0;132.0;5.0;-14.0;-10.0;12.0;-37.0;55.0;3.0;-7.0;-3.0;-25.0;-45.0;12.0
LEFT;-60.0;48.0;7.0;-327.0;-342.0;801.0;-21.0;-73.0;-50.0;-321.0;-392.0;571.0;29.0;-135.0;-86.0;-313.0;-175.0;-54.0;79.0;-146.0;-58.0;304.0;209.0;-645.0;53.0;-45.0;-18.0;281.0;479.0;-952.0;17.0;15.0;9.0;141.0;492.0;-976.0;-19.0;50.0;24.0;122.0;408.0;-735.0;-25.0;63.0;37.0;74.0;221.0;-391.0;-27.0;68.0;35.0;39.0;54.0;-63.0;-11.0;45.0;27.0;-19.0;-49.0;177.0;1.0;25.0;19.0;-33.0;-93.0;301.0;7.0;4.0;7.0;-32.0;-105.0;318.0;11.0;1.0;1.0;-91.0;-140.0;255.0;7.0;2.0;-7.0;-58.0;-141.0;207.0;4.0;-8.0;-7.0;4.0;-85.0;139.0;-1.0;-5.0;-5.0;15.0;-63.0;104.0
LEFT;-45.0;64.0;24.0;-125.0;-256.0;913.0;-50.0;5.0;-20.0;-355.0;-395.0;979.0;-32.0;-168.0;-78.0;-447.0;-280.0;506.0;51.0;-174.0;-96.0;-139.0;-35.0;-608.0;96.0;-122.0;-67.0;138.0;383.0;-1195.0;72.0;4.0;-6.0;384.0;645.0;-1320.0;-3.0;49.0;39.0;385.0;618.0;-856.0;-47.0;80.0;52.0;208.0;331.0;-409.0;-40.0;61.0;42.0;148.0;160.0;-114.0;-22.0;70.0;40.0;98.0;-55.0;71.0;1.0;47.0;28.0;-42.0;-128.0;256.0;10.0;35.0;13.0;-153.0;-225.0;362.0;10.0;7.0;-2.0;-210.0;-206.0;384.0;2.0;-14.0;-6.0;-54.0;-150.0;251.0;8.0;-16.0;-2.0;-53.0;-117.0;153.0;10.0;-14.0;-4.0;-34.0;-74.0;112.0
LEFT;-33.0;59.0;32.0;-37.0;-193.0;714.0;-46.0;23.0;-8.0;-240.0;-288.0;940.0;-15.0;-104.0;-50.0;-445.0;-254.0;535.0;22.0;-146.0;-72.0;-195.0;-146.0;-153.0;69.0;-126.0;-49.0;52.0;171.0;-795.0;58.0;-20.0;-21.0;222.0;344.0;-1006.0;23.0;22.0;13.0;284.0;502.0;-922.0;-23.0;42.0;26.0;203.0;337.0;-701.0;-33.0;35.0;27.0;168.0;221.0;-458.0;-22.0;57.0;25.0;-45.0;57.0;-217.0;-5.0;51.0;27.0;93.0;9.0;44.0;3.0;38.0;21.0;-121.0;-91.0;274.0;2.0;30.0;9.0;-70.0;-112.0;342.0;3.0;17.0;1.0;-139.0;-153.0;335.0;8.0;-5.0;-2.0;55.0;-79.0;280.0;10.0;-24.0;-2.0;-11.0;-94.0;213.0
LEFT;-47.0;61.0;24.0;23.0;-250.0;707.0;-54.0;-10.0;-19.0;-285.0;-305.0;732.0;-11.0;-122.0;-68.0;-387.0;-313.0;259.0;54.0;-160.0;-74.0;-248.0;-21.0;-360.0;71.0;-117.0;-46.0;385.0;346.0;-926.0;43.0;2.0;-10.0;197.0;508.0;-1044.0;-10.0;41.0;24.0;328.0;554.0;-838.0;-32.0;80.0;37.0;-24.0;276.0;-447.0;-31.0;56.0;40.0;184.0;143.0;-199.0;-12.0;55.0;34.0;-20.0;-39.0;43.0;0.0;37.0;27.0;104.0;-72.0;189.0;8.0;36.0;13.0;-133.0;-197.0;360.0;4.0;21.0;-2.0;-55.0;-199.0;368.0;8.0;4.0;-10.0;-70.0;-159.0;333.0;14.0;-32.0;-9.0;14.0;-74.0;212.0;14.0;-29.0;-4.0;-8.0;-36.0;76.0
LEFT;-47.0;53.0;5.0;41.0;-200.0;883.0;-43.0;-22.0;-40.0;-267.0;-236.0;772.0;-9.0;-143.0;-54.0;-281.0;-207.0;259.0;48.0;-149.0;-55.0;-219.0;-31.0;-583.0;75.0;-97.0;-37.0;188.0;314.0;-980.0;43.0;3.0;-4.0;210.0;498.0;-1070.0;1.0;37.0;23.0;154.0;464.0;-806.0;-32.0;52.0;36.0;146.0;269.0;-554.0;-38.0;66.0;34.0;64.0;74.0;-214.0;-21.0;62.0;32.0;136.0;-18.0;0.0;-4.0;63.0;18.0;-121.0;-156.0;278.0;9.0;27.0;6.0;-22.0;-121.0;355.0;14.0;2.0;-3.0;-94.0;-150.0;353.0;15.0;-18.0;-3.0;10.0;-82.0;304.0;15.0;-23.0;-6.0;-32.0;-82.0;193.0;8.0;-17.0;-5.0;-27.0;-53.0;126.0
LEFT;-51.0;44.0;-7.0;82.0;-164.0;1101.0;-53.0;-91.0;-67.0;-536.0;-143.0;772.0;20.0;-218.0;-86.0;-544.0;-125.0;-352.0;83.0;-159.0;-57.0;-248.0;165.0;-1326.0;78.0;-22.0;-3.0;311.0;366.0;-1605.0;4.0;91.0;31.0;337.0;513.0;-982.0;-45.0;86.0;49.0;261.0;307.0;-430.0;-32.0;80.0;41.0;-51.0;35.0;-2.0;-9.0;54.0;29.0;144.0;-27.0;226.0;5.0;36.0;16.0;-100.0;-141.0;396.0;10.0;4.0;1.0;93.0;-116.0;386.0;3.0;-1.0;-8.0;-69.0;-132.0;286.0;5.0;-14.0;-9.0;37.0;-86.0;160.0;5.0;-12.0;-3.0;-31.0;-70.0;92.0;11.0;-18.0;3.0;-64.0;-61.0;69.0;3.0;-7.0;0.0;-78.0;-77.0;41.0
LEFT;-51.0;50.0;10.0;-165.0;-247.0;896.0;-42.0;-29.0;-27.0;-218.0;-327.0;824.0;-12.0;-149.0;-61.0;-398.0;-240.0;357.0;67.0;-154.0;-64.0;87.0;37.0;-536.0;77.0;-103.0;-43.0;102.0;348.0;-1019.0;43.0;-16.0;-12.0;327.0;508.0;-1312.0;-16.0;53.0;23.0;102.0;491.0;-970.0;-45.0;77.0;42.0;287.0;334.0;-489.0;-40.0;83.0;42.0;45.0;87.0;-79.0;-26.0;82.0;33.0;-48.0;-100.0;164.0;5.0;45.0;22.0;-173.0;-147.0;456.0;14.0;6.0;13.0;24.0;-167.0;533.0;22.0;-29.0;1.0;17.0;-175.0;383.0;17.0;-13.0;-13.0;13.0;-182.0;152.0;12.0;-14.0;-18.0;-64.0;-102.0;70.0;4.0;-7.0;-11.0;8.0;-18.0;58.0
