Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
AQW;19.0;-161.0;-243.0;-4960.0;-969.0;-467.0;17.0;-100.0;-96.0;1525.0;-98.0;184.0;15.0;26.0;-12.0;6373.0;26.0;378.0;-3.0;24.0;106.0;7677.0;981.0;675.0;-14.0;-60.0;-83.0;4227.0;272.0;105.0;-35.0;-83.0;50.0;2487.0;-224.0;-24.0;-30.0;179.0;123.0;-2488.0;46.0;-2.0;-11.0;114.0;194.0;-3966.0;-158.0;-280.0;17.0;67.0;144.0;-3427.0;180.0;-16.0;15.0;-40.0;15.0;-95.0;-23.0;-139.0;-2.0;7.0;-2.0;-549.0;-45.0;23.0;3.0;-12.0;4.0;-155.0;-5.0;-40.0;2.0;-8.0;2.0;-105.0;0.0;-36.0;1.0;-5.0;-2.0;51.0;-7.0;15.0;-2.0;-5.0;1.0;167.0;6.0;-9.0;-1.0;-1.0;0.0;9.0;-21.0;-3.0
AQW;-4.0;-116.0;-242.0;-5870.0;-497.0;-612.0;-10.0;-108.0;-129.0;-670.0;-268.0;-222.0;8.0;-19.0;-90.0;4368.0;-85.0;96.0;4.0;102.0;86.0;7270.0;513.0;776.0;10.0;34.0;-41.0;3805.0;355.0;444.0;-2.0;-115.0;36.0;2367.0;196.0;41.0;-9.0;-34.0;57.0;921.0;-128.0;-199.0;-5.0;44.0;135.0;-1573.0;-104.0;-249.0;-5.0;73.0;113.0;-2279.0;-206.0;-21.0;8.0;47.0;86.0;-1942.0;102.0;-32.0;2.0;10.0;31.0;-1114.0;16.0;-1.0;1.0;2.0;12.0;-372.0;51.0;-87.0;1.0;-4.0;12.0;-387.0;6.0;65.0;3.0;-4.0;6.0;57.0;9.0;34.0;-3.0;-5.0;3.0;-52.0;-22.0;71.0;0.0;-1.0;-3.0;-11.0;-7.0;14.0
AQW;-17.0;-89.0;-235.0;-5157.0;-445.0;-573.0;-44.0;-41.0;-139.0;-837.0;-328.0;-380.0;-2.0;20.0;-87.0;2937.0;-126.0;1.0;19.0;105.0;82.0;6136.0;461.0;632.0;43.0;-18.0;-4.0;4148.0;333.0;447.0;10.0;-78.0;10.0;2777.0;315.0;14.0;-5.0;-77.0;64.0;1266.0;54.0;-36.0;3.0;7.0;111.0;-672.0;8.0;-318.0;-3.0;45.0;134.0;-1884.0;-186.0;-171.0;9.0;83.0;85.0;-1726.0;-45.0;-24.0;-7.0;58.0;41.0;-1743.0;-34.0;259.0;-2.0;6.0;18.0;-911.0;-99.0;193.0;-3.0;-11.0;5.0;-511.0;-41.0;12.0;3.0;-17.0;3.0;-262.0;-19.0;27.0;2.0;-5.0;-4.0;-2.0;11.0;-1.0;-1.0;-10.0;0.0;128.0;6.0;2.0
AQW;46.0;-106.0;-140.0;-3075.0;-241.0;-615.0;-13.0;-33.0;-126.0;954.0;-362.0;-202.0;26.0;55.0;10.0;5732.0;389.0;507.0;-48.0;99.0;-16.0;4787.0;396.0;795.0;9.0;-70.0;-20.0;3951.0;500.0;447.0;-2.0;-107.0;40.0;2405.0;140.0;-42.0;-2.0;-23.0;80.0;552.0;-302.0;-293.0;7.0;68.0;148.0;-2387.0;-211.0;-280.0;3.0;64.0;107.0;-1896.0;-130.0;-48.0;5.0;25.0;72.0;-1823.0;202.0;145.0;-10.0;-1.0;31.0;-659.0;-15.0;141.0;-6.0;6.0;18.0;-798.0;-50.0;76.0;-3.0;2.0;5.0;-402.0;-41.0;3.0;-1.0;-11.0;0.0;-153.0;-25.0;-43.0;-1.0;-1.0;-3.0;-79.0;-7.0;-8.0;1.0;-6.0;-2.0;109.0;14.0;-16.0
AQW;18.0;-141.0;-170.0;-3642.0;-244.0;-273.0;6.0;-5.0;-113.0;966.0;-216.0;-324.0;13.0;92.0;4.0;5448.0;214.0;367.0;-17.0;158.0;13.0;5344.0;371.0;513.0;1.0;-65.0;-36.0;3724.0;367.0;442.0;10.0;-115.0;7.0;2763.0;359.0;23.0;-14.0;-27.0;46.0;1184.0;-280.0;-263.0;-4.0;29.0;133.0;-2134.0;-76.0;-182.0;-11.0;38.0;134.0;-2329.0;-294.0;-55.0;18.0;-3.0;113.0;-1925.0;233.0;49.0;0.0;35.0;36.0;-890.0;-37.0;89.0;-6.0;8.0;24.0;-562.0;-36.0;62.0;-7.0;8.0;9.0;-604.0;-88.0;-35.0;-1.0;-12.0;1.0;-260.0;-62.0;-45.0;4.0;-11.0;-2.0;-115.0;-12.0;-25.0;4.0;-4.0;-9.0;-158.0;12.0;57.0
AQW;6.0;-55.0;-234.0;-6064.0;-350.0;-653.0;69.0;-66.0;-101.0;-1742.0;-152.0;-404.0;2.0;0.0;-102.0;2454.0;-86.0;42.0;3.0;103.0;79.0;6461.0;376.0;675.0;-74.0;106.0;-58.0;2694.0;187.0;625.0;-5.0;-106.0;0.0;2709.0;94.0;303.0;6.0;-63.0;-12.0;2738.0;230.0;78.0;-4.0;-132.0;33.0;2360.0;47.0;-104.0;13.0;59.0;100.0;-1023.0;89.0;-474.0;-12.0;29.0;153.0;-2269.0;-182.0;-92.0;7.0;103.0;128.0;-2567.0;-38.0;-40.0;-20.0;13.0;54.0;-1497.0;-121.0;285.0;-2.0;1.0;21.0;-949.0;-41.0;41.0;1.0;-10.0;2.0;-608.0;-32.0;-13.0;3.0;-21.0;1.0;-15.0;-3.0;-47.0;0.0;-4.0;-3.0;13.0;-4.0;-33.0
AQW;2.0;-35.0;-219.0;-5918.0;-445.0;-653.0;46.0;-141.0;-198.0;-3969.0;-281.0;-763.0;13.0;-40.0;-97.0;1485.0;-64.0;-111.0;4.0;85.0;53.0;6543.0;544.0;796.0;-40.0;98.0;51.0;6113.0;453.0;1116.0;-11.0;-78.0;-69.0;3569.0;304.0;469.0;0.0;-102.0;52.0;1578.0;38.0;-135.0;8.0;21.0;97.0;-435.0;-112.0;-362.0;-14.0;65.0;154.0;-2064.0;-266.0;-323.0;-9.0;86.0;106.0;-1667.0;-81.0;98.0;-18.0;32.0;54.0;-1446.0;-9.0;38.0;1.0;21.0;42.0;-1466.0;6.0;-21.0;-1.0;-17.0;18.0;-554.0;-53.0;-131.0;0.0;7.0;2.0;-351.0;-58.0;-59.0;1.0;-10.0;-1.0;-58.0;-34.0;-29.0;2.0;-4.0;-7.0;-72.0;-14.0;23.0
AQW;20.0;-66.0;-242.0;-6692.0;147.0;-870.0;62.0;-171.0;-120.0;-2061.0;-157.0;227.0;-1.0;-66.0;-118.0;4010.0;-387.0;-119.0;-17.0;98.0;56.0;7396.0;5.0;1059.0;-52.0;74.0;-53.0;5053.0;331.0;-46.0;17.0;-103.0;18.0;2714.0;648.0;93.0;-8.0;-100.0;62.0;2604.0;-145.0;-347.0;6.0;99.0;138.0;-946.0;-59.0;-449.0;-12.0;110.0;149.0;-3273.0;-323.0;-38.0;6.0;75.0;118.0;-3118.0;14.0;209.0;-20.0;-32.0;35.0;-1652.0;-77.0;315.0;1.0;-17.0;12.0;-292.0;31.0;-24.0;-1.0;-12.0;8.0;-214.0;-16.0;-50.0;0.0;-1.0;-5.0;-175.0;-28.0;-47.0;2.0;-4.0;-8.0;126.0;-22.0;-21.0;-1.0;-12.0;-4.0;-27.0;9.0;29.0
AQW;22.0;-65.0;-240.0;-5457.0;-277.0;-1097.0;25.0;-88.0;-162.0;-1295.0;-364.0;14.0;5.0;-1.0;-90.0;3754.0;-185.0;166.0;-14.0;120.0;65.0;6192.0;388.0;1318.0;-10.0;-31.0;6.0;5096.0;349.0;404.0;5.0;-70.0;-46.0;3248.0;207.0;383.0;-19.0;-65.0;61.0;1891.0;-309.0;-39.0;-28.0;88.0;133.0;-1912.0;5.0;-225.0;-17.0;25.0;190.0;-3247.0;-33.0;-200.0;11.0;15.0;107.0;-2469.0;245.0;-144.0;7.0;3.0;25.0;-1036.0;-3.0;-66.0;2.0;8.0;10.0;-423.0;-13.0;-65.0;-1.0;-9.0;5.0;-161.0;-32.0;-18.0;-1.0;-9.0;-1.0;24.0;-16.0;-21.0;3.0;-2.0;-4.0;1.0;-8.0;-6.0;-1.0;1.0;-2.0;-22.0;5.0;-19.0
AQW;-16.0;-5.0;-197.0;-6234.0;-287.0;-599.0;60.0;-137.0;-141.0;-3799.0;-220.0;-383.0;18.0;-50.0;-111.0;1627.0;-40.0;-180.0;23.0;44.0;36.0;6972.0;459.0;835.0;-46.0;48.0;-12.0;7064.0;243.0;603.0;-10.0;-55.0;-81.0;4002.0;132.0;465.0;-3.0;-19.0;51.0;1948.0;-410.0;-235.0;-18.0;110.0;134.0;-2444.0;5.0;-303.0;-22.0;62.0;202.0;-3570.0;-77.0;-296.0;-4.0;-15.0;114.0;-2608.0;280.0;13.0;4.0;-17.0;25.0;-841.0;-26.0;44.0;8.0;-11.0;13.0;-594.0;-50.0;-16.0;-2.0;-3.0;-3.0;-210.0;-56.0;-46.0;-2.0;3.0;-10.0;-207.0;11.0;-22.0;-2.0;-15.0;-7.0;62.0;-13.0;-11.0;3.0;-11.0;-3.0;286.0;1.0;24.0
